,0,1,2,3,4,5,6,7,8,9
0,10.0,10.0,8.5,8.5,10.0,10.0,6.0,6.0,0.0,0.0
1,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
2,9.0,9.0,9.0,9.0,0.0,0.0,8.0,8.0,8.0,6.0
3,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
4,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,7.0
5,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
6,10.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,7.0,10.0
8,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
9,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
10,8.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0
11,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.5
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0
15,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
16,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
17,10.0,10.0,9.5,9.5,10.0,10.0,9.5,9.5,10.0,10.0
18,10.0,10.0,8.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0
19,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
21,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
22,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
23,9.0,9.0,8.0,8.0,10.0,10.0,6.0,6.0,10.0,0.0
24,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
25,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,8.0,7.0
26,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
27,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,10.0,10.0
28,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
29,10.0,10.0,8.5,8.5,10.0,10.0,9.0,9.0,10.0,10.0
30,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
31,9.0,9.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,8.5
32,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
33,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
36,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
37,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
38,10.0,10.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0
39,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
40,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
41,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
42,9.0,9.0,8.5,8.5,10.0,10.0,0.0,0.0,0.0,10.0
43,9.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0
44,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
45,10.0,10.0,8.0,8.0,10.0,10.0,9.5,9.5,10.0,7.0
46,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
47,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
48,10.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,10.0,10.0
49,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.5
50,10.0,10.0,8.5,8.5,10.0,10.0,8.0,8.0,10.0,10.0
51,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
52,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
53,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
54,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
55,10.0,10.0,8.5,8.5,10.0,10.0,6.0,6.0,10.0,10.0
56,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
57,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
58,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
59,9.0,9.0,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0
60,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
61,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
62,9.0,9.0,8.5,8.5,10.0,10.0,9.0,9.0,10.0,10.0
63,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
64,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
65,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
66,9.0,9.0,8.5,8.5,10.0,10.0,6.0,6.0,10.0,10.0
67,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
68,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,0.0
69,9.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,6.0,0.0
70,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,4.0,6.0
71,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,6.0,6.0
72,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
73,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
74,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
75,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
76,9.0,9.0,8.0,8.0,6.0,6.0,9.0,9.0,8.0,10.0
77,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
78,10.0,10.0,8.0,8.0,10.0,10.0,6.0,6.0,8.0,10.0
79,9.0,9.0,8.5,8.5,10.0,10.0,6.0,6.0,8.0,10.0
80,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
81,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
82,10.0,10.0,9.5,9.5,10.0,10.0,7.0,7.0,10.0,10.0
83,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
84,10.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,7.0
85,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
86,10.0,10.0,8.5,8.5,10.0,10.0,8.0,8.0,10.0,6.0
87,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,8.0
88,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
89,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
90,9.0,9.0,8.5,8.5,10.0,10.0,0.0,0.0,0.0,0.0
91,9.0,9.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,10.0
92,10.0,10.0,8.5,8.5,10.0,10.0,10.0,10.0,10.0,8.5
93,9.0,9.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
94,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
95,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
