,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,8.5,8.0,9.0,9.5,9.5,8.5,9.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,7.0,10.0,10.0,9.0,9.0,10.0,7.0,7.0,8.0,8.0,10.0,8.0,9.5,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,8.5,10.0
1,9.5,9.0,8.5,8.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,9.5,8.5,9.5,9.5,9.5,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,8.5,10.0,8.5,9.0,10.0,10.0,9.0,10.0,9.5,8.5,9.5,9.5,9.0,8.5
2,10.0,8.5,8.5,10.0,8.5,7.0,9.5,9.0,10.0,9.5,9.5,9.5,9.5,10.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,7.0,7.0,6.0,7.0,6.0,5.0,5.0,6.0,9.5,6.0,6.0,10.0,10.0,10.0,10.0,9.0,9.5,9.5,8.5,8.5,8.5,9.5
3,8.0,9.0,9.5,9.0,9.5,9.5,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.5,8.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,8.5,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.5,9.5,9.5,9.5,8.5,9.5
4,10.0,10.0,9.5,10.0,9.5,8.5,10.0,9.5,9.5,10.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.5,10.0,9.0,8.0,8.0,8.0,9.0,8.0,9.5,8.5,9.5,9.5,8.5,9.5
5,7.5,9.0,10.0,10.0,9.5,8.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,7.0,8.0,9.0,8.5,9.5,9.5,8.5,8.5,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.5,10.0
6,9.5,9.0,0.0,0.0,0.0,7.5,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7,8.0,10.0,9.0,7.5,9.0,9.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,8.5,10.0,10.0,10.0,10.0,10.0,8.5,8.5,7.5,8.5,7.5,9.0,6.0,10.0,10.0,9.0,10.0,5.0,9.5,9.5,9.5,9.5,9.5,6.0,6.0,6.0,6.0,9.0,6.0,8.5,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0
8,9.5,10.0,9.0,8.5,10.0,8.5,10.0,9.5,8.5,9.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,8.5,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,7.5,8.5,8.5,8.5,7.5,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0
9,9.0,9.0,9.0,9.5,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,8.5,8.5,9.5,9.5,9.5,7.0,10.0,7.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0
10,6.0,10.0,7.0,6.0,9.5,6.0,10.0,5.0,5.0,9.0,10.0,9.0,10.0,5.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,-1.0,0.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,5.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,8.0,9.5,9.5,9.5,9.5,9.5,7.0,7.0,7.0,7.0,9.5,7.0
11,8.0,10.0,0.0,6.0,7.0,5.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,7.0,-1.0
12,9.5,10.0,8.0,10.0,10.0,10.0,9.0,9.5,9.5,10.0,10.0,9.0,10.0,9.5,9.5,9.5,8.5,9.5,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.5,8.0,8.5,7.5,8.5,8.5,9.0,9.5,9.5,9.5,9.5,8.5,9.0,9.0,8.0,9.0,9.0,8.0,10.0,9.5,9.5,9.5,9.5,9.5,9.0,9.0,9.0,8.0,10.0,8.0
13,8.0,8.5,9.0,9.0,9.5,9.0,8.5,10.0,10.0,8.5,8.5,8.5,8.5,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.5,8.5,8.5,8.5,8.5,7.5,7.0,8.5,8.5,8.5,8.5,8.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,8.0,6.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.5,10.0
14,8.0,9.5,10.0,8.5,6.0,8.5,9.5,7.0,8.0,9.5,9.5,8.5,9.5,8.0,7.0,7.0,7.0,7.0,8.5,9.5,9.5,8.5,8.5,9.0,9.0,10.0,10.0,10.0,7.0,10.0,7.0,8.0,8.0,7.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,6.0,10.0
15,9.0,9.0,8.5,8.0,8.5,10.0,10.0,8.5,9.5,10.0,10.0,10.0,10.0,8.5,9.5,8.5,9.5,8.5,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.5,9.0,8.5,9.5,9.5,9.5,10.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,8.5,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.5,8.5,8.5,8.5,9.5,8.5
16,8.0,10.0,6.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.5,9.5,9.5,9.5,9.5,8.5,10.0,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,7.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,9.0,7.0
17,7.5,9.0,9.5,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,9.5,10.0,8.5,9.0,8.0,9.0,9.0,9.0,9.5,9.5,9.5,8.5,10.0,9.5
18,8.5,-1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0
19,6.0,9.0,-1.0,9.0,8.5,9.0,10.0,-1.0,0.0,10.0,10.0,10.0,9.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,9.5,-1.0
20,8.5,10.0,0.0,9.0,10.0,8.5,9.0,9.5,9.5,10.0,9.0,10.0,9.0,9.5,9.5,8.5,8.5,9.5,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.5,0.0,8.5,8.5,9.5,8.5,0.0,7.0,7.0,6.0,7.0,6.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,8.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,0.0
21,9.0,9.0,8.5,9.0,10.0,7.5,8.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,6.0,8.0,8.0,8.0,8.0,8.5,7.0,10.0,9.0,8.0,9.0,9.0,9.0,8.5,9.5,8.5,8.5,10.0,8.5
22,9.0,-1.0,-1.0,9.5,7.0,8.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,6.0,0.0
23,9.5,10.0,0.0,10.0,0.0,6.0,10.0,9.5,9.5,10.0,9.0,9.0,9.0,9.5,8.5,9.5,9.5,9.5,9.5,8.5,9.5,8.5,8.5,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,7.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0
24,9.0,10.0,8.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,8.5,10.0,8.5,9.5,9.5,8.5,9.5,9.5,8.5,8.5,9.5,9.5,8.5,9.5
25,7.0,9.0,9.0,9.0,10.0,9.5,9.0,9.5,8.5,9.0,8.0,9.0,8.0,9.5,8.5,8.5,9.5,9.5,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,7.0,8.0,7.0,8.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,8.0,8.0,9.0,10.0,9.0
26,9.0,9.5,9.0,9.0,10.0,10.0,9.5,10.0,9.0,9.5,9.5,9.5,9.5,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
27,8.0,10.0,10.0,8.5,8.5,7.5,10.0,9.5,9.5,9.0,9.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,-1.0,8.0,0.0,-1.0,0.0,-1.0,7.0,9.5,9.5,9.5,9.5,9.5,8.0,8.0,7.0,8.0,9.0,8.0,9.0,7.5,7.5,8.5,8.5,8.5,9.0,9.0,9.0,9.0,9.5,9.0
28,10.0,10.0,9.0,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.5,10.0
29,9.0,9.5,9.0,9.0,10.0,9.0,9.5,10.0,10.0,9.5,9.5,9.5,9.5,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.5,5.0,9.5,9.5,8.5,8.5,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,10.0,6.0,6.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
30,10.0,7.5,10.0,10.0,9.0,8.0,8.5,10.0,10.0,8.5,8.5,7.5,7.5,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,6.0,10.0,10.0,9.0,9.0,6.0,9.5,8.5,9.5,8.5,9.5,6.0,6.0,6.0,5.0,10.0,6.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0
31,10.0,10.0,9.5,9.5,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,9.5,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.5,8.5,9.5,9.5,10.0,9.5
32,10.0,9.0,10.0,9.5,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,9.5,9.5,9.5,9.5,9.5,8.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
33,9.0,10.0,9.5,9.5,10.0,9.0,10.0,9.5,9.5,10.0,10.0,9.0,9.0,9.5,9.5,9.5,9.5,9.5,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.5,9.0,8.5,10.0,9.0,9.0,10.0,10.0,9.5,9.5,9.5,9.5,10.0,9.5
34,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
35,8.0,8.5,8.0,9.5,9.5,8.5,9.5,8.0,9.0,9.5,9.5,9.5,9.5,8.0,9.0,9.0,9.0,8.0,0.0,-1.0,-1.0,0.0,-1.0,7.0,7.0,6.0,7.0,7.0,9.0,6.0,8.0,9.0,9.0,9.0,6.0,8.0,8.0,7.0,8.0,8.0,5.0,6.0,6.0,6.0,8.0,6.0,7.5,9.5,8.5,9.5,8.5,9.5,8.0,9.0,8.0,8.0,9.5,9.0
36,9.0,8.0,10.0,9.5,10.0,9.5,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.5,10.0,9.5,9.5,8.5,9.5,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.5,8.5,9.5,9.5,8.5,10.0,10.0,9.0,10.0,9.0,10.0
37,9.0,8.5,7.5,7.0,8.5,8.5,7.5,-1.0,0.0,8.5,8.5,8.5,8.5,0.0,0.0,-1.0,-1.0,-1.0,10.0,9.0,10.0,10.0,10.0,5.0,6.0,6.0,6.0,6.0,10.0,8.0,9.0,10.0,10.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,7.0,8.0,8.0,7.0,8.5,8.0,8.5,9.5,9.5,9.5,9.5,8.5,7.5,7.5,8.5,7.5,9.5,8.5
38,8.0,8.0,7.0,9.0,7.0,8.5,9.0,9.5,9.5,8.0,9.0,9.0,9.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,8.5,10.0,10.0,10.0,10.0,8.5,7.0,7.0,7.0,7.0,7.0,8.5,8.5,8.5,8.5,6.0,8.5,9.5,8.5,8.5,8.5,7.5,8.5,7.0,7.0,7.0,6.0,7.0,7.0
39,10.0,9.0,10.0,10.0,9.0,8.5,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,9.5,8.5,9.5,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
40,8.0,9.0,8.5,9.5,9.5,8.5,9.0,0.0,0.0,9.0,9.0,8.0,9.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.5,7.5,6.5,7.5,7.5,7.0,8.0,7.0,8.0,8.5,8.0,5.0,6.0,5.0,6.0,6.0,5.0,8.5,8.5,8.5,7.5,9.5,8.5
41,9.0,9.0,10.0,9.5,10.0,8.0,9.0,9.5,9.5,8.0,9.0,9.0,8.0,8.5,9.5,8.5,8.5,9.5,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.5,9.5,9.5,8.5,8.5,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
42,9.5,8.5,10.0,9.0,9.5,9.5,8.5,10.0,10.0,9.5,9.5,9.5,8.5,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,7.0,7.0,7.0,7.0,7.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,-1.0,0.0,-1.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,8.5,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.5,10.0
43,9.0,10.0,8.5,9.0,7.5,8.5,10.0,8.5,9.5,10.0,9.0,10.0,9.0,8.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,6.0,8.0,9.0,9.0,9.0,6.0,9.5,9.5,8.5,9.5,8.5,5.0,6.0,6.0,6.0,8.5,6.0,10.0,8.5,9.5,9.5,8.5,9.5,7.5,8.5,8.5,7.5,7.5,8.5
44,10.0,9.5,10.0,9.0,9.0,10.0,9.5,8.5,8.5,9.5,9.5,9.5,8.5,8.5,8.5,7.5,7.5,7.5,10.0,10.0,9.0,10.0,10.0,6.0,6.0,5.0,5.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.5,9.5,9.5,9.5,9.5,9.0,10.0,10.0,10.0,9.0,9.0
45,9.5,9.5,9.5,9.5,10.0,8.5,9.5,9.5,8.5,8.5,8.5,9.5,9.5,8.5,8.5,9.5,9.5,8.5,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.5,10.0,9.5,8.5,8.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.5,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.5,9.5,9.5,8.5,10.0,9.5
46,9.5,9.0,10.0,8.5,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,9.0,10.0,9.0,10.0,10.0
